,R,rho,error A,error B,error C,error D,error E,error F,runtime A,runtime B,runtime C,runtime D,runtime E,runtime F
287,3,0.9,0.06662255338559091,0.09648209699201932,0.10102261614641309,0.07188073957702536,0.049456128587447516,0.04757838518178936,1345.14073547101,1333.0250957899843,438.4205286810029,845.3397353959882,861.2199180640017,32.164321379998
288,3,0.91,0.07292515762266856,0.0987953378603537,0.11888778618784114,0.08982553670733288,0.045205971714701816,0.03682032482158698,1313.080838569993,1307.977220071014,396.7508853760082,834.2183708459925,845.0486709489923,32.30489250499886
289,3,0.92,0.08085813603573065,0.10264312066220413,0.14191119888150025,0.1237439578934407,0.03772072354293364,0.02365929623906943,1324.9779128410155,1291.9984520509895,424.3820803089912,833.134091371001,848.8228441989924,32.42798518199925
290,3,0.93,0.08679559492964924,0.10554598498350125,0.1644158527849002,0.18719025856182406,0.03172667814728411,0.027699409110338608,1201.719650930987,1300.3647128290029,372.39908629300766,891.3355439730077,903.7168386130071,38.050793149999656
291,3,0.94,0.05944804327531794,0.07709929324797879,0.1448542038408164,0.32686015162670395,0.05359047864168265,0.026757297853212562,1437.7427568209823,1324.7127770360096,389.32085189099604,1126.4323736360093,1132.6128156500056,66.29592630099796
292,3,0.95,0.08103658695489703,0.10160895728322203,0.12086961663906926,0.48107451760974856,0.034250027619603184,0.04950237462433124,1311.8905504030115,1315.3434534789994,451.935898192998,827.7241812520077,822.1593823629954,32.407893290001084
293,3,0.96,0.1278342362560164,0.15747313558542472,9.494098597226043e+30,0.7006971377763194,0.02520633050291965,7.923032206533408e+59,1291.9342745410104,1227.3936232919805,117.80945190000001,806.7716504159907,805.583495155006,26.738658532
294,3,0.97,0.17491999939567815,0.22378357438734717,1.7164643190053495,1.0411837818561869,0.06763800996226722,,1271.284593399003,1255.7238039470105,98.585508311,818.9480880110059,831.3376356919908,26.086947921999997
295,3,0.98,0.23723227559127938,0.3207450048577127,1.2166510982446028,1.5184862352828734,0.12391074744167135,,1285.3863230420102,1289.5841303670022,132.706845031,822.3878872130008,832.8782349289978,26.27182645
296,3,0.99,0.30605565753330155,0.4459040994637258,1.2833751080980051,2.1668731930836143,0.18530177506424217,,1314.3843562469992,1328.3010022139931,198.07485329099998,832.1917124180037,820.6625123770064,32.91611819800164
297,4,0.01,1.6186108440409053,0.7462062399920081,1.0654908031394401,0.006562595799113106,0.16760442410285994,0.15933425060007528,11509.081078213001,10046.181696395,542.5715125410023,13240.679488877,6903.675704810999,83.70567076700002
298,4,0.02,1.5815412729116505,0.7225214333938819,0.9706504279760968,0.0061497017576256086,0.16023336418291848,0.14945123734195132,11655.168453516999,10404.274336398,542.5363953649976,11264.319808130002,8158.074681423001,81.82962476499995
299,4,0.03,1.5346473256349165,0.6963123959424603,0.9805039126425728,0.003765172170316161,0.16295884538059008,0.15635472758195817,10999.035738266999,10539.253949666,499.1368761759986,10874.538871983998,8028.639322491999,85.30955433300005
300,4,0.04,1.4950985097661331,0.673457274003774,8812141292884.662,0.006103892989367077,0.15898535793548635,827961474752.7506,11151.253539811,10679.730344010995,112.869149297,10541.444632869005,10369.145065821998,26.408057235999998
301,4,0.05,1.4549965123327389,0.6507695949176063,0.7270681480053556,0.00775275457720317,0.15622956735454638,0.15319632093302818,10552.280601093,10260.723911608002,106.31536253000002,10384.603596609997,10669.651328829,26.060795963
302,4,0.06,1.4156167457937927,0.6288945330389704,0.6857930621685837,0.009855432367971482,0.15334850003339096,0.15040341775325572,10992.913058897995,10699.008735098005,542.7877402140002,10209.779270778005,10562.71718244598,51.573612140997284
303,4,0.07,1.3768139682444622,0.605871945751193,0.6473683978566905,0.011114796864997636,0.15054959499101156,0.14819073263998508,10580.928078807005,10501.286552972995,538.4022110410006,10479.125960373987,10376.822095107002,51.311377636000536
304,4,0.08,1.3366585192566163,0.5827847341138915,0.6126101366117134,0.010980104202279704,0.14973958598555742,0.14782694593191895,11299.879874069009,10777.524910416992,520.6091473059969,10245.927372944005,9786.556612096,73.83697385800042
305,4,0.09,1.3013161741139467,0.563061682655816,0.5842147552794134,0.01502120829390387,0.14489737522711987,0.14393568946434834,10564.950371501996,10666.069078282002,527.260535661997,10388.242691648991,9779.41245062,41.39015280700187
306,4,0.1,1.2635534741844519,0.5430950605670718,0.5578897083359717,0.016023976324886897,0.14317986449114994,0.14245535522997632,10910.026955081994,10756.799255713997,600.4300094440005,10199.083314745003,10073.402477084004,32.49130369500199
307,4,0.11,1.2245961256777826,0.5204535020524612,0.5306443076751886,0.015185157024817876,0.14291080636062878,0.1423051338993138,10603.728599527996,10613.342048597988,552.0469724719986,10128.424435652008,10250.310858147996,32.4468473320012
308,4,0.12,1.1908805097540154,0.5020420322325608,0.5089451578701965,0.01894957180100787,0.1383158496577585,0.13794073395466097,11070.823249885012,10672.925289747,536.6772163009991,10022.83463538,10253.063618014,32.49777987199923
309,4,0.13,1.1576959996669671,0.484987100272441,0.48958102947799687,0.022594607944193643,0.13450588135216443,0.13431035527879226,10921.373806852991,10538.439071206,605.5511486270008,10010.475525776988,10520.755061364996,67.52633566700024
310,4,0.14,1.1215570540282211,0.46600375345068396,0.46900081657219317,0.022772971175298983,0.13385038975649335,0.13374685368049732,10092.458892818975,10441.010857361021,567.1703583169982,9835.563756991003,10437.27709109,34.83845371999996
311,4,0.15,1.086712070986285,0.44701105806658176,0.44894905316135925,0.023344961348739417,0.13318818312703462,0.13313543768728253,10114.552374977007,11087.093389562011,614.3418012529983,9886.792711897026,10502.684370467992,66.22835030999704
312,4,0.16,1.0546945155474727,0.4301751080549901,0.43143309860630913,0.026181695976782753,0.12958613333933752,0.12955469139436918,10745.632703793002,10423.570904334978,534.8283474240014,10007.244118829984,10531.909634247,33.85506895300205
313,4,0.17,1.022897500194686,0.4139099919296262,0.4147583952950791,0.028623586950603463,0.12768170085523825,0.12766737356133484,10607.336644224008,10616.180625064997,553.4862310259996,10059.048755144991,10474.755832234994,64.48676665000312
314,4,0.18,0.9906333821427684,0.3967116617275157,0.3973407474052194,0.02987348594127308,0.1253342292277727,0.12532310297377453,10228.37060924698,10284.483843557973,467.3600991399981,10098.797464657022,10379.972696799001,32.37579722499868
315,4,0.19,0.9580237793791524,0.37985897821693637,0.3804005054958429,0.030142088239606478,0.12467905231463317,0.12467195712701191,10627.245792742004,10983.106926230976,535.7852863869994,9890.482772246003,10489.789687976008,32.53974573199957
316,4,0.2,0.928132611856604,0.3642095028368142,0.3647530166673749,0.032444325648983904,0.12151816678885233,0.12151008907504858,10259.308874468989,10663.428047580994,352.8416655769979,10049.271638874985,9894.820947901986,37.402389855000365
317,4,0.21,0.8990066030922002,0.3502215708276791,0.3508241967317109,0.034845556530007794,0.12018084888479398,0.1201830605375889,10772.824883417983,10623.151109028026,371.75956146600953,9940.439450611011,9470.065433964017,63.80968430299981
318,4,0.22,0.8701141130894559,0.3355721471620914,0.33627412318880245,0.03677898720666909,0.11836158185887363,0.11836490712011749,10742.087068599998,10761.145923693955,433.7977411690081,10079.627506452,9470.63162546701,38.67604361100166
319,4,0.23,0.8415335468236401,0.3212243136947053,0.32204926657347493,0.038355393609539074,0.1163364265867117,0.11634674875122401,10678.778288563017,10686.492888898996,371.5666481869994,10175.362178769981,9466.840665645985,62.68064779799897
320,4,0.24,0.8139851376906363,0.30797624147705455,0.3089378478257073,0.04028228461991898,0.11519371367323832,0.11520963192245745,10801.249930855993,10520.823891267006,363.8246715759889,10166.450820611004,9474.591382222017,32.234952014001465
321,4,0.25,0.7852790140250572,0.2934023829252665,0.2945075865386227,0.040370556462743165,0.11371153085898517,0.11373039596809807,10777.436516087995,10601.919634303951,412.322936668992,10075.48526771998,9479.975204527991,60.35481656300181
322,4,0.26,0.7584360624044868,0.28059648446781427,0.2818415618293291,0.04166270450548427,0.11295603554739601,0.11298556280291182,10678.01154097199,10658.974724102998,348.06016505300073,10099.055429298023,9469.06127754401,32.5051473099993
323,4,0.27,0.7337860696748841,0.2691325543820419,0.27052189495900636,0.04447915341932321,0.11113375086922248,0.11117652430543214,10702.687982212983,10674.92547714297,331.59258826500445,10190.295877316037,9480.775856630993,32.48165368899936
324,4,0.28,0.708265608474842,0.2565706645360199,0.25810118372502794,0.0456791659878101,0.109371900388284,0.10942815144023312,10644.29225111095,10555.42636453302,400.8088993010023,10269.10539200803,9489.195857587998,43.47380446699753
325,4,0.29,0.6827677875596266,0.24475899415357272,0.2464258245446272,0.04628196865118351,0.10903289091216457,0.10910297173458114,10852.098355024003,10683.472455775016,416.03717830899404,10292.096602967009,9486.42874161902,58.29358601200147
326,4,0.3,0.6592734105087547,0.2341981625265145,0.23599488539745309,0.048283901843487506,0.10758878731915188,0.10767971486498736,10563.361336129019,10645.712588071998,393.2050661359972,10590.558692419028,9466.53304064399,46.14265879600135
327,4,0.31,0.6356154668011552,0.22290191443345278,0.22480893174320093,0.049356994258856986,0.10718897557284439,0.10728977343777821,10793.681409412004,10539.899051045999,401.01503459099337,10208.055363262014,9466.917765031976,55.63585228199736
328,4,0.32,0.6131188242045703,0.21259875721221144,0.214617236028308,0.05100279947435464,0.1056271549654974,0.10574881283716446,10895.387819774041,10734.46195701696,380.75691146199824,10282.356804774026,9462.603745400993,32.315681441999914
329,4,0.33,0.5911324213876502,0.20244886572604096,0.20456784483941792,0.05252716402430524,0.10394507905548497,0.10408254811151883,10365.212893936958,10597.807296083018,353.02260684499925,10560.151899538992,9463.049731412,32.289514664997114
330,4,0.34,0.569702916779872,0.1933640823104232,0.1955553914113396,0.05397796960031724,0.1036796481472303,0.10384036222342394,10952.711739459017,10623.709777712009,422.8616502819932,10052.217697194019,9461.310689667996,65.5903197689986
331,4,0.35,0.5485798065567655,0.18344578671572528,0.1857096447498998,0.0551280417294444,0.10283112955133877,0.10301648959774098,11049.359128137994,10440.360500066015,382.6767404230049,10236.237944133987,9460.129360627963,32.304800228001106
332,4,0.36,0.5296157130194828,0.1756744364041434,0.17799490897387213,0.05782338149189412,0.10157889595136274,0.1017966446108145,11073.621387734021,10609.604560459033,452.2688336610008,10340.035833542002,9456.960979505035,45.82477862000087
333,4,0.37,0.5083092008272433,0.1658204552637794,0.16816070700420777,0.05759020277061319,0.10110381977942201,0.1013269678266873,11200.136943411024,10584.357889642995,566.2154452340037,10369.055379608006,9479.816640856036,58.45034101599958
334,4,0.38,0.4901671512869084,0.15766725072570323,0.16002637701903716,0.05994626115728242,0.0986748701403692,0.09892373152059561,11258.095682843006,10701.629125456966,412.7522354160028,10251.093897679006,9467.296707058966,52.47270661400034
335,4,0.39,0.4695577156703714,0.149047821338061,0.1513838976590194,0.05927133382527318,0.09941689813062292,0.09967413934222355,10745.614855520022,10593.659670013993,402.19550454700953,10482.578715384996,9469.716981413016,49.08583948800151
336,4,0.4,0.45242384181144474,0.14213059846584955,0.1444421139108926,0.06152618889877887,0.09843978491783593,0.09872362005442438,10841.876770470992,10544.232914022983,421.6743560199975,10145.046624853045,9473.317431517991,32.312686916997336
337,4,0.41,0.43424065510590076,0.13461878016908202,0.13686492242141687,0.3639841573410117,0.09751852999083839,0.09781423172572394,7775.79160265799,10493.243845458026,398.80151330800436,5571.187477602011,9466.94450958597,32.34100479400149
338,4,0.42,0.41776251370722256,0.1277101721031008,0.12987945633755582,0.3653838171271699,0.09618937705181345,0.09649548467179347,7708.307209424005,10305.635159711004,400.98065558499366,5649.314826486982,9470.302597345028,53.1563179549994
339,4,0.43,0.40008865519706244,0.12138215789602397,0.12343182748881042,0.3685588649392249,0.09691708655867265,0.09722183851787237,7593.0412587639885,10458.558215795028,409.2734173799981,5538.392076628981,9478.948219960965,45.90221813000244
340,4,0.44,0.38512113807248843,0.11560164877100683,0.1175298473655938,0.369595134981349,0.09617029160456098,0.09648675028006748,7742.949588651012,10317.820695397037,493.69690884300513,5605.325690419995,9464.401008072018,60.95005766399845
341,4,0.45,0.370362254137238,0.10964631400456791,0.11140950611407169,0.370978368448821,0.09485496946168627,0.09517420289675048,7686.769913163036,10434.211497366894,548.1043570249894,5524.581915535992,9464.977491030992,44.472803070999355
342,4,0.46,0.35481184073924515,0.10326172341885068,0.1048506602608422,0.37369697997964,0.09388530951324875,0.09419211861472414,7652.649427530996,10052.81370199495,394.0175766890025,5550.622400380991,9460.038611242024,68.88195609800097
343,4,0.47,0.33854622173451326,0.09689530308511363,0.09827017882985546,0.3776631955611251,0.09291429435785735,0.09320107858810728,7660.564869556052,10114.86301789491,377.63771549300867,5626.166632711975,10079.407878066006,32.480954352999106
344,4,0.48,0.3246839586669596,0.0918822602122821,0.093023508940404,0.37974737498323696,0.09285301012118112,0.0931082574129593,7789.786374876043,10055.677704646949,400.1103785969899,5589.508904758957,10585.195104443002,32.21378896900205
