,w_exp,w_M1,w_M2,rhos,mc_limit
105,0.022269450188246147,0.0074345033183152295,0.02099847180675493,0.44999999999999996,11
106,0.022269450188246147,0.007434503339538025,0.02099847180675493,0.44999999999999996,12
107,0.022269450188246147,0.007434503342569055,0.02099847180675493,0.44999999999999996,13
108,0.032753520856090124,0.004519331184180341,0.02424963561951146,0.49999999999999994,2
109,0.032753520856090124,0.005033849517458245,0.02424963561951146,0.49999999999999994,3
110,0.032753520856090124,0.007068208564799909,0.02424963561951146,0.49999999999999994,4
111,0.032753520856090124,0.00743699612469379,0.02424963561951146,0.49999999999999994,5
112,0.032753520856090124,0.007497379584083996,0.02424963561951146,0.49999999999999994,6
113,0.032753520856090124,0.007506683314774248,0.02424963561951146,0.49999999999999994,7
114,0.032753520856090124,0.007508064723318145,0.02424963561951146,0.49999999999999994,8
115,0.032753520856090124,0.007508263815723531,0.02424963561951146,0.49999999999999994,9
116,0.032753520856090124,0.0075082918197605045,0.02424963561951146,0.49999999999999994,10
117,0.032753520856090124,0.007508295680813218,0.02424963561951146,0.49999999999999994,11
118,0.032753520856090124,0.007508296206477823,0.02424963561951146,0.49999999999999994,12
119,0.032753520856090124,0.007508296274683616,0.02424963561951146,0.49999999999999994,13
120,0.04724976173284214,0.012822852744954481,0.027569968417919748,0.5499999999999999,2
121,0.04724976173284214,0.0030192774619349585,0.027569968417919748,0.5499999999999999,3
122,0.04724976173284214,0.005476556697595302,0.027569968417919748,0.5499999999999999,4
123,0.04724976173284214,0.006278764323549805,0.027569968417919748,0.5499999999999999,5
124,0.04724976173284214,0.0064734487178325535,0.027569968417919748,0.5499999999999999,6
125,0.04724976173284214,0.006512891476389451,0.027569968417919748,0.5499999999999999,7
126,0.04724976173284214,0.006520577187847307,0.027569968417919748,0.5499999999999999,8
127,0.04724976173284214,0.006522029775664542,0.027569968417919748,0.5499999999999999,9
128,0.04724976173284214,0.0065222976908288505,0.027569968417919748,0.5499999999999999,10
129,0.04724976173284214,0.006522346149670623,0.027569968417919748,0.5499999999999999,11
130,0.04724976173284214,0.006522354784112328,0.027569968417919748,0.5499999999999999,12
131,0.04724976173284214,0.006522356300644374,0.027569968417919748,0.5499999999999999,13
132,0.06487402020255964,0.02380375617485586,0.028900648462191668,0.6,2
133,0.06487402020255964,0.004140972834002267,0.028900648462191668,0.6,3
134,0.06487402020255964,0.004703688571195393,0.028900648462191668,0.6,4
135,0.06487402020255964,0.00600927574477578,0.028900648462191668,0.6,5
136,0.06487402020255964,0.006391326316553105,0.028900648462191668,0.6,6
137,0.06487402020255964,0.006491548326252597,0.028900648462191668,0.6,7
138,0.06487402020255964,0.006515519845201102,0.028900648462191668,0.6,8
139,0.06487402020255964,0.006521075522497854,0.028900648462191668,0.6,9
140,0.06487402020255964,0.0065223344299680935,0.028900648462191668,0.6,10
141,0.06487402020255964,0.006522615280377276,0.028900648462191668,0.6,11
142,0.06487402020255964,0.006522677279998702,0.028900648462191668,0.6,12
143,0.06487402020255964,0.006522690871357119,0.028900648462191668,0.6,13
144,0.08804537032397539,0.04000984025616635,0.029254022596590663,0.65,2
145,0.08804537032397539,0.013652402667088698,0.029254022596590663,0.65,3
146,0.08804537032397539,0.004531820780093047,0.029254022596590663,0.65,4
147,0.08804537032397539,0.005338780602416387,0.029254022596590663,0.65,5
148,0.08804537032397539,0.005876477006761036,0.029254022596590663,0.65,6
149,0.08804537032397539,0.006071867819172325,0.029254022596590663,0.65,7
150,0.08804537032397539,0.006133034211052176,0.029254022596590663,0.65,8
151,0.08804537032397539,0.006151386878327435,0.029254022596590663,0.65,9
152,0.08804537032397539,0.0061564557871748435,0.029254022596590663,0.65,10
153,0.08804537032397539,0.006157838084728821,0.029254022596590663,0.65,11
154,0.08804537032397539,0.006158212360556355,0.029254022596590663,0.65,12
155,0.08804537032397539,0.006158313365006362,0.029254022596590663,0.65,13
156,0.1164343098972473,0.06124496240315521,0.02661794020844069,0.7,2
157,0.1164343098972473,0.02747333061933975,0.02661794020844069,0.7,3
158,0.1164343098972473,0.010405265319778551,0.02661794020844069,0.7,4
159,0.1164343098972473,0.005478560747011617,0.02661794020844069,0.7,5
160,0.1164343098972473,0.005622916380095327,0.02661794020844069,0.7,6
