,R,rho,error A,error B,error C,error D,error E,error F,runtime A,runtime B,runtime C,runtime D,runtime E,runtime F
623,7,0.3,2.330662404050824,1.6394521275795035,1.640901753291624,0.17348380594402457,0.29634853725047705,0.29653761345508706,2174.2921029839927,2011.6815292320096,1243.1656403929956,7527.681230806978,9152.494422157994,9299.304010777008
624,7,0.31,2.223253752888286,1.5431168924006897,1.5448960173821171,0.18049238955335228,0.30634294067517565,0.30659254310750716,2221.720384256987,1995.8331696370003,1226.5345138569974,8017.258049304015,9570.427942458002,7913.521493786
625,7,0.32,2.121721666819197,1.4527277854524239,1.4548635198819313,0.1867310621226492,0.31548951823254456,0.3158109838227206,2241.4859070810053,1916.2090117810003,1192.169825969002,8155.0244615171105,9639.189482222995,7693.881394581999
626,7,0.33,2.026367499517964,1.3685858643728597,1.3711021809527415,0.19311037644184773,0.324702316424786,0.32510766876524555,2114.826125113992,1812.5119524309996,1184.3375219020018,8180.933710754034,9639.454059623997,7704.894487940999
627,7,0.34,1.9364469347185411,1.2899464306549078,1.292863451312765,0.1994250872136624,0.3337781242671291,0.3342798543535062,2195.2451464449987,1850.9401014619943,1176.4860659429978,8166.476437068079,9676.333595941,7940.651531121999
628,7,0.35,1.8517497005763914,1.2165987884205556,1.219932083776909,0.20594505436268576,0.342986459729027,0.3435972543422905,2171.3996689819905,1809.524497898994,1134.7439771059944,8084.606315752957,9698.993845255998,8081.624769910002
629,7,0.36,1.7718158658450966,1.1480825831344872,1.1518424877201294,0.21263445182220053,0.35229442500909214,0.3530268415942666,2042.448682834991,1793.867281024999,1105.1702449549994,9254.624848436912,9681.500428273,8014.289037475995
630,7,0.37,1.6961507405083212,1.083902742350763,1.0880936895137965,0.21937533909377208,0.3615887772608859,0.3624548652330833,1860.215079372996,1761.2251062470025,1061.4585369370034,9085.398543480083,9837.207472056003,8028.886760784
631,7,0.38,1.623758278646551,1.0230629158793538,1.0276827975902925,0.22551120914442074,0.37021536838868657,0.37122623806436167,2081.853820521996,1729.1100230540032,1046.1383808379978,8268.141309008934,9917.080190424,8057.158756719997
632,7,0.39,1.5556567070414877,0.9665811386089409,0.9716206967278662,0.23236678069250993,0.3794998808149904,0.38066522259942615,1939.541088406011,1743.688208009,1034.84833298,7749.106710258988,9822.815788147003,9234.31230322599
633,7,0.4,1.490699873608747,0.9133112099306254,0.9187534668500982,0.23907146464244455,0.3885735160820795,0.389901074116203,1932.4912434480063,1740.027017943008,1003.2004992500006,7843.982369862962,9983.048508365006,9786.852373065003
634,7,0.41,1.4279116664491034,0.8622771405100046,0.8680968783864139,0.24489389151566357,0.396711118123784,0.39820612428631535,1985.15987875899,1772.7056868189975,989.2845326800016,7749.82451178995,10094.436902524,10374.842173727
635,7,0.42,1.368392847131974,0.814580010062386,0.8207433091084388,0.2511623175845058,0.4052411809351233,0.40690575689673053,1830.761475837004,1720.335732941996,927.3007714280028,7752.505380923045,10014.253895357991,10339.989107310996
636,7,0.43,1.3114475507246466,0.7695244887586626,0.7759883363167621,0.2573822064043559,0.4136750795540576,0.4155076164827902,1866.8351004459985,1726.8197766759986,908.557148683998,7757.0193579100305,9890.752405198,9139.790815444
637,7,0.44,1.2566390402455003,0.7266746101063037,0.7333865934809991,0.26330098953790937,0.4217651827316587,0.42375971025859216,1914.790631313008,1647.2638829589996,887.8606801320057,7906.779890347039,10029.068950201006,7987.3824615839985
638,7,0.45,1.20426563752107,0.6863297174854733,0.6932278148235393,0.2693885028800182,0.4299828274034663,0.43212838558329025,1935.57401727901,1708.9162674929976,840.7737684329986,7814.7447620560415,9565.875733137,8028.413322758002
639,7,0.46,1.1542451485921188,0.648408902711032,0.6554213876061655,0.27571463000651614,0.43840452112440614,0.44068455138755086,1647.8361617619958,1567.542016685009,817.7116322770089,7902.558351867949,9760.08092918,8027.777598583998
640,7,0.47,1.1058772159133239,0.6122133690909987,0.6192588460825096,0.28172248831490415,0.4464758445239839,0.4488676180427767,1631.440282024996,1573.0460819599975,769.5779778800061,7734.140460236929,9684.728665807,7987.818715925998
641,7,0.48,1.059079376982704,0.5776624988330211,0.5846500886014542,0.2874589526784148,0.45424886656195723,0.45672297107583265,1602.134723900992,1607.5095985980006,757.3214875029953,7750.57242011698,9938.901785945003,8972.242088612998
642,7,0.49,1.0146851389729752,0.5455919345535515,0.5524216294088479,0.29387744953589306,0.4626814098156385,0.4652013188266059,1649.202609881002,1532.7816308509937,728.5178263580019,7800.983802776085,9586.472064053,9663.793057511995
643,7,0.5,0.9709473087682051,0.5142569144377771,0.5208201266980704,0.29934046831687733,0.4701414283694514,0.47266317977528316,1686.5897200189938,1417.9778623470047,681.1144753929984,7821.069001029013,9358.504120582002,9114.200686641998
644,7,0.51,0.9299388215041292,0.4857331045041147,0.4919134323118391,0.3060228125896282,0.47880876080224466,0.48128077554564175,1648.6921450149966,1370.7769881240092,653.8885287699959,7602.60483858292,9597.497763309992,10406.941388743
645,7,0.52,0.8902757300836557,0.45863958840822816,0.46431382810688177,0.3126350888247647,0.4873989370368513,0.4897620122761967,1653.3535964139885,1380.9842216599936,644.1650710289978,7872.119253059034,9595.092784708002,10394.288537116
646,7,0.53,0.8512229168302569,0.4322445819296938,0.437284012926053,0.3185298679303136,0.49526961385597446,0.49745712958371485,1474.2835339349986,1351.452762793997,596.8625151689921,7837.073649142054,9817.382459339002,9553.939260454
647,7,0.54,0.8134054797618749,0.4071768142226029,0.4114487957602762,0.32441438207855994,0.5031326029753191,0.505070986003497,1514.8408186680026,1454.6211706270117,593.5056448079995,7807.898280684021,9430.114966811,8315.698278374002
648,7,0.55,0.7761800767423439,0.3827968690584471,0.38616678183233333,0.3297215065453395,0.5104257844198614,0.5120352793010703,1633.92685987601,1433.1223286059976,595.4819995090002,7782.952202180983,9702.556641938994,8763.795842785003
649,7,0.56,0.7403364319597493,0.3599001792422526,0.3622334132651851,0.33531069779097933,0.5180148855505591,0.5192106883950778,1508.274812086005,1320.1356227930082,561.8504241109986,7970.643631246989,9873.522648034,8779.587205992997
650,7,0.57,0.7050342273234687,0.33764777810786983,0.33881358225744523,0.3404080362306888,0.5251317433594478,0.5258255617296451,1466.320801120004,1285.9203836140075,536.9923612389975,8273.200399085064,9707.650295503,8802.932151531
